'1274386869829197826','don t let our PM see this in case he thinks it s a challenge for him to try to beat it','','','Neutral'
'1274387667879370753','Just this week Mike Pence bragged that the federal response was success because new cases dropped from 30 000 to 20 000 a day','United States','','Positive'
'1274387667896107009','The latest The Revolution L amp D Ltd Daily Thanks to protein coronavirus','Colchester, England','','Positive'
'1274387668189806593','Chile','Uruguay','','Neutral'
'1274387668319731712','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','she/her','','Neutral'
'1274387668512604161','if u say blm but u are partying ignoring COVID bc it s more convenient for u id like to remind you that COVID will dispro','Los Angeles, CA','','Positive'
'1274387668479225857','Goated','','','Neutral'
'1274387668596666368','11 days no new COVID 19 cases in Nova Scotia','Nova Scotia','','Negative'
'1274387668588257280','BREAKING Another Florida record day Added 4049 new COVID 19 cases overnight 12 36 positivity rate','Pittsburgh, PA','','Positive'
'1274387668785221634','Mumbai pls guide and help one of my close friends has Covid and is admitted in Lilavati and needs Remdesivir urgently Ho','Vishakhapatnam, India','','Neutral'
'1274387669171093504','Oh you have to be fucking kidding me','California','','Negative'
'1274387669406097408','Citizen The inventor of the polio vaccine gave it away for free Here s what he said when asked who owned the patent the pe','New York City','','Positive'
'1274387669288488960','I will be removing my car s brakes You have the freedom to keep driving with brakes in your car if you want Preventi','Washington, USA','','Neutral'
'1274387669397590016','A little wake up call for all of you not wearing masks My cousin checked into the hospital Tuesday morning for body a','Los Angeles, CA','','Negative'
'1274387669603110912','After lockdown eases we re in uncharted territory warns rural crime cop','Ross-shire','','Neutral'
'1274387669783646208','2 new COVID 19 deaths and 22 cases confirmed Of the 22 9 were diagnosed in people aged under 35 A reminder the viru','Alphen aan den Rijn. Netherlands','','Positive'
'1274387669657751553','women with bob the builder type husbands are really living','Instagram: felicity182','','Positive'
'1274387669926043648','Darwin Award finalist','Canada','','Neutral'
'1274387670018351105','PawanKalyan s voice well heard by YSJagan chief is the only leader who demanded Jagan','Andrapradesh','','Neutral'
'1274387669997563904','Normandin waits to see if the Rays try to use coronavirus as an excuse to play in Montreal right now','Florida, USA','','Positive'
'1274387670005923840','People are getting sicker throughout the South amp the West amp our national leaders won t even acknowledge it let alone act Th','','','Neutral'
'1274387670139985920','if u say blm but u are partying ignoring COVID bc it s more convenient for u id like to remind you that COVID will dispro','','','Positive'
'1274387670043693056','Ontario reports more than 200 new cases of COVID 19 for first time in a week','','','Positive'
'1274387669091594241','Here they come Eric make sure you shake everyone s hand princess COVIDIDIOTS Here s hoping ya a','MadeInDetroit','','Positive'
'1274387670072848387','I will be removing my car s brakes You have the freedom to keep driving with brakes in your car if you want Preventi','','','Neutral'
'1274387670370844674','look at them just look at them I mean really look at them literally the scum of the earth','USA','','Negative'
'1274387670463102976','In the time of COVID 19 and social distancing literary organizations face a difficult reality regarding in person fes','Columbus MS','','Negative'
'1274387670442049536','Simon says Your country needs you and they all heed the call Then Simon says Eff off it was just a PR stunt and','Dublin, Ireland','','Neutral'
'1274387670458925058','Mark Drakeford may be too cautious for some but he never fails to reinforce my conviction that Wales is in a safe pair of h','Planet Ceri','','Positive'
'1274387670525853696','If Trump fans want to risk their lives to see him in Oklahoma I get it The problem is that they ll come out of the aren','Here','','Neutral'
'1274387670555414529','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','','','Neutral'
'1274387670546989056','BREAKING Another Florida record day Added 4049 new COVID 19 cases overnight 12 36 positivity rate','Michigan, USA','','Positive'
'1274387670500704256','A reading guide to Reliance Jio the most important tech company in the world Over the past few months COVID 19 h','tunisie','','Positive'
'1274387672249675777','cinnamonro11 if you can t afford to tip AT LEAST 20 during a fucking PANDEMIC you cannot afford to be eating out servers are risk','','','Negative'
'1274387672245600256','working in retail during a nationwide pandemic is a special kind of hell because I see at least one example of all of th','Bordeaux, France','','Positive'
'1274387672434237441','Sources At least 2 Bucs positive for coronavirus Bitcoin Sportsbook h','','','Negative'
'1274387672375558144','This clip scares the hell out of me The debasement of science evidence and facts may be one of Trump s most damaging achiev','Seattle, WA','','Positive'
'1274387672451211264','we have to unearth layers of oppression from 1619 right up to this moment That history and present is painful to confront','Hudson Valley, NY','','Negative'
'1274387672258301953','Coronavirus bound','','','Neutral'
'1274387672040189952','Meet the very handsome Enzo He won last weeks Saturday Lockdown Linlithgow Challenge and ss having fun with his p','Linlithgow, Scotland','','Positive'
'1274387672664965122','So this means if you are an American citizen and you were able to stay in the US and be with your family you are worth','Everywhere ','','Positive'
'1274387672572649472','Coronavirus News LIVE Updates Glenmark launches COVID 19 drug FabiFlu priced at Rs 103 per tablet','','','Positive'
'1274387672841232385','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','England','','Neutral'
'1274387672920965120','Last guy I met lasted only 2mins How can I find a real man in this lockdown craziness dress kink slut findom fee','Estados Unidos','','Positive'
'1274387672962871305','WHO are so incompetent lately they have shown the world how irrelevant their organization is why have they not declared s','','','Negative'
'1274387673013260290','Just ban Americans it s fine','','','Positive'
'1274387673348747264','DJRemzy So all them parties beach link ups amp protests and no rise in the covid death rate somebody lying','Scotland, United Kingdom','','Neutral'
'1274387673122082816','Funeral gatherings increase COVID 19 outbreaks Gauteng govt warns','South Africa','','Neutral'
'1274387673491234818','Jesus','''merica','','Neutral'
'1274387673487077378','Put another way during COVID19 it has been four times more dangerous to be in a New Jersey nursing home than it was to be a Br','Winnetka, CA','','Positive'
'1274387673852108800','Deeply saddened by the untimely death of Brig Hasan Afzal due to Covid 19 Not only his family but also the country amp the a','Pakistan','','Negative'
'1274387673772326912','Most Christians are professing Christ without the real power of the Holy Ghost that is why we are afrai','','','Positive'
'1274387674091016192','In the middle of a pandemic institutions really expect students to have tuition money ready just like that','Davao City, Philippines','','Positive'
'1274387674074214400','My Goodness','Casa Amor | Grocery Store','','Neutral'
'1274387674069995520','sigh','','','Neutral'
'1274387674237935616','I ll say it again Starmer not only do we need an enquiry into the govts handling of Covid but also','','','Neutral'
'1274387674552393728','RESUS If you think wearing a mask cuts off your oxygen just wait until you find out what COVID does','Salt Lake City, UT','','Neutral'
'1274387674607075328','BREAKING Another Florida record day Added 4049 new COVID 19 cases overnight 12 36 positivity rate','Midwest USA','','Positive'
'1274387674586120193','Primary school in Barnsley forced to close after multiple staff members catch coronavirus 75 children and 67 members of st','Wales, United Kingdom','','Positive'
'1274387674649018370','working in retail during a nationwide pandemic is a special kind of hell because I see at least one example of all of th','','','Positive'
'1274387674640474112','Dropping thousands of people anywhere in the midst of a pandemic is clearly a risk Dropping this many people into a state t','regina and kelowna','','Positive'
'1274387674573475844','There is no mistake lana We know this game','','','Negative'
'1274387674715942912','Haven America should never again comply with their COVID Lockdown orders The hypocrisy they have shown supporting BLM protests w','','','Positive'
'1274387674762280963','It s almost like the pandemic never happened','','','Neutral'
'1274387674690924546','women with bob the builder type husbands are really living','Massachusetts, USA','','Positive'
'1274387674837725185','No that s not a typo Hong Kong recorded only its fifth 5th coronavirus death today HK is one of the most densely p','USA','','Positive'
'1274387674913288199','Four states report record highs in coronavirus cases Florida and Arizona hit hard','Sweden','','Negative'
'1274387674858651648','Meanwhile keeps pursuing predatory lending practices I m writing letters to my Sen','Washington DC','','Neutral'
'1274387674800050176','I just signed the petition calling on and the government to provide shelter to homeless people during','','','Neutral'
'1274387676481781760','The Navy Is Blaming the Captain It Fired for Accurate COVID 19 Warning','','','Positive'
'1274387676872015874','quick reminder Prints of my She ra fanart are available here All earnings will go to a covid','','','Positive'
'1274387676968497152','Well at least the coronavirus is thinking about allergens of the people Dust don t matter is you mask up','','','Negative'
'1274387677203378176','Nation was missing sagacious leadership of Shaheed Mohtarma Benazir Bhutto when the country is facing extraordinary inter','','','Positive'
'1274387677341601792','I look forward to ALL of the Congressional hearings into how the current president','Avid Seattle Freezer','','Neutral'
'1274387677320708097','Over recent weeks The Duchess has been keeping in touch with some of the 60 charities and organisations with which she','','','Neutral'
'1274387677333401600','Florida is something else man smh','Pine Bush','','Neutral'
'1274387677496950787','We re months into this pandemic and still don t have proper testing PPE or clear nationwide guidance Instead Donald Trump','Houston, TX','','Positive'
'1274387677555486721','We re months into this pandemic and still don t have proper testing PPE or clear nationwide guidance Instead Donald Trump','','','Positive'
'1274387677438267394','Yes a few colleges at work I m a nurse I worked at the Covid ward when the epidemic peaked in De','Copenhagen, Denmark','','Negative'
'1274387677618434048','It s not a campaign rally It s a rally supporting the spread of coronavirus TrumpsCoronavirusRally','','','Positive'
'1274387677815676929','I have a feeling there will be an endless amount of coronavirus coverage in the next two weeks after the TrumpRallyTu','','','Negative'
'1274387677849235457','Good to see the pandemic is over','','','Positive'
'1274387677694038016','This clip scares the hell out of me The debasement of science evidence and facts may be one of Trump s most damaging achiev','','','Positive'
'1274387677467627522','Tic toc tic toc','Somewhere over the Rainbow','','Neutral'
'1274387677274570753','Corona Virus Statistics amp Updates 20th June 2020 LCCapital Markets CoronaVirus Forward Futures Stocks','','','Neutral'
'1274387677807366145','Florida Governor Ripped For Trying To Pin COVID 19 Spike On Hispanic Workers SmartNews','Lakeland, FL','','Neutral'
'1274387678004420617','of covid that s so offensive yemeni s are resilient and have been through so much and are still the most energetic and live','','','Positive'
'1274387678184656897','From what I ve read the interval from risky behavior or opening the economy amp uptick in confirmed COVID cases is','Fullerton, CA','','Positive'
'1274387678255972352','I will be removing my car s brakes You have the freedom to keep driving with brakes in your car if you want Preventi','Encinitas, CA','','Neutral'
'1274387678327377922','Maybe just maybe the virus is not contagious at all','','','Neutral'
'1274387678373515265','More than 50 000 new cases in one day the biggest one day increase for any country in the world since the pandemic began','County Down, Northern Ireland ','','Positive'
'1274387678629224448','if u say blm but u are partying ignoring COVID bc it s more convenient for u id like to remind you that COVID will dispro','Bellingham, WA','','Positive'
'1274387678713307138','Milano Trump knows exactly what he s doing This rally will inflict pain amp division when we should be celebrating liberation H','30.317707, -87.263276','','Positive'
'1274387678725730304','A little wake up call for all of you not wearing masks My cousin checked into the hospital Tuesday morning for body a','The Tea Kettle w/Rebecca','','Negative'
'1274387678742614020','Two Buccaneers players test positive for COVID 19','','','Positive'
'1274387678667198465','Fly His name is Moyo and he s a health minister Call that cardiac arrest','NATTY CAMP ','','Positive'
'1274387678780370946','Deeply saddened by the untimely death of Brig Hasan Afzal due to Covid 19 Not only his family but also the country amp the a','','','Negative'
'1274387678734069760','kupa Coronavirus cases are rising again This is a new disease New diseases MUTATE depending on their environment If yall cont','Oregon, USA','','Positive'
'1274387678889467915','Corruption theft during a global pandemic well done the ANC','South Africa','','Neutral'
'1274387678876913669','Not a single soul has died due to the Coronavirus from the riots of the last two weeks But tomorrow after the Trump rally','','','Negative'
'1274387678994354178','Scientists said the detection of traces of the virus before the end of 2019 was consistent with evidence in other cou','Colorado, USA','','Positive'
'1274387679090802689','Defo think I ll book after lockdown is over','Manchester/Sligo/Sunderland','','Neutral'
'1274387679111757824','Trump s rally in Tulsa is indoors with no social distancing and no mask requirements all in violation of CDC guidelines','','','Negative'
'1274387679023706113','Knowing that SA has the most cases of COVID scares tf out me so scared for my baby','','','Positive'
'1274387679082356736','Pence prioritizes loyalty to Trump over lives of Americans He is just as responsible as Trump for unnecessary deaths h','Florida, USA','','Negative'
'1274387680495718401','This is sad','Vancouver, BC','','Negative'
'1274387680550195200','We re the MSM We re here to stir up fear','','','Neutral'
'1274387680667844609','olla If this pandemic didn t teach me anything it taught me that you should always have another way you can earn money apart from','','','Neutral'
'1274387680873205761','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','Chromatica (& New York, NY)','','Neutral'
'1274387681028513793','samara Oh and I do think the covid numbers ar','','','Neutral'
'1274387681263452165','London marathon organizers still hopeful of staging the race in October Binti Sports','Kenya','','Neutral'
'1274387681364062210','A little wake up call for all of you not wearing masks My cousin checked into the hospital Tuesday morning for body a','','','Negative'
'1274387681418661889','Covid 19 hit Black people Hispanics and those with underlying conditions harder CDC data shows h','New Jersey, USA','','Negative'
'1274387681364127744','Guy says had a friend who died and another on a ventilator but doesn t know what to believe about covid','','','Neutral'
'1274387681523519490','Coronavirus can survive for 20 years in temperatures of minus 20 degrees Celsius','scotland','','Negative'
'1274387681448022017','Totally unexpected eh','Raval, Barcelona','','Positive'
'1274387681515094016','763 people have died from coronavirus in the UK since Monday It s like two Boeing 777 s falling out of the sky every week','Earth-ish','','Neutral'
'1274387681355747330','How can this have less than 100 000 signatures It s for our student nurses who stepped up amp risked everything to keep','London, England','','Negative'
'1274387681578008577','coronavirus Truth','somewhere','','Neutral'
'1274387681439596553','is this for real','South Carolina remove Graham','','Positive'
'1274387681678524416','Trump s American exceptionalism covid19','Santa Clara County ','','Neutral'
'1274387681896734721','it s weird watching people just decide the pandemic is over','','','Negative'
'1274387681624027137','Even the Sun has new beginnings It too goes through a dark phase Mark your SecondInnings now','Worldwide','','Negative'
'1274387681879998469','Well my friends daughter has covid She s a Dr on a covid ward Thanks and you utterly abysmal','uk','','Positive'
'1274387681993203716','Rockefeller Foundation to invest in 10 cities inclusive COVID recovery Smart Cities Dive','United States','','Positive'
'1274387681959649282','rocket96 Excellent from someone said there were kids no more than ten there','Scotland','','Positive'
'1274387682152644614','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','Foot loose and Fancy free ','','Neutral'
'1274387682181824512','Mumbai pls guide and help one of my close friends has Covid and is admitted in Lilavati and needs Remdesivir urgently Ho','','','Neutral'
'1274387682110648321','Milano Trump knows exactly what he s doing This rally will inflict pain amp division when we should be celebrating liberation H','','','Positive'
'1274387682286809089','I don t even like thinking about tens of thousands of people breathing inside together during non pandemic times','New York, USA','','Neutral'
'1274387682118926336','This might seem wildly insensitive but hear me out and obviously I hope he s ok Maybe a big star like Matthews test','winnipeg, man.','','Positive'
'1274387682274226177','women with bob the builder type husbands are really living','atlanta.ga','','Positive'
'1274387682106445825','Outrageous First Cuomo forced COVID 19 patients into nursing homes causing 6 000 deaths Now he s dismissing their fa','','','Negative'
'1274387682139963392','Like they are LITERALLY wearing diapers','Canada','','Neutral'
'1274387682693693440','Fuck covid 19 I just wanna go to the river','','','Negative'
'1274387682832121856','In 4 months of the pandemic 29 Americans became billionaires Over 16 million Americans lost their health insurance 4','Flip, Flip ','','Neutral'
'1274387682899132422','At this point all I can say to folks like this is go with God','Texas','','Neutral'
'1274387683159220224','A little wake up call for all of you not wearing masks My cousin checked into the hospital Tuesday morning for body a','','','Negative'
'1274387683326992385','I will be removing my car s brakes You have the freedom to keep driving with brakes in your car if you want Preventi','','','Neutral'
'1274387683666780160','Due to COVID 19 me and Pablo Escabars wife have one thing in common we were both stopped flying into Germany','Strawberry.','','Negative'
'1274387684765478913','The problems students are facing are real There are way too many complications for exams in July Extraordinary times','','','Positive'
'1274387684719390720','kelly2 More dishonest spin First Amendment and blessings of liberty don t apply to individuals who defy useless mask orders ha','San Diego, CA','','Negative'
'1274387684807651329','2 new COVID 19 deaths and 22 cases confirmed Of the 22 9 were diagnosed in people aged under 35 A reminder the viru','Dublin City, Ireland','','Positive'
'1274387684878778369','Allowing Homoeopathic treatment for Covid 19 in covid affected patients will make fast recovery or cure as well as nega','','','Positive'
'1274387685164101637','MPs urge government to explore four day working week for post Covid 19 society Except for Boris Johnson who prefers a 3','Oldham, England','','Neutral'
'1274387685029928965','us Trump is exploiting a global pandemic to Fill our oceans with chemicals waste amp disease Destroy the habitat of endangere','The Germany of my mind','','Negative'
'1274387685331755009','In natural disasters FEMA traditionally helps families cover the costs of burying their dead Not during COVID 19 where th','San Juan Islands, WA','','Negative'
'1274387685398978560','Who needs alligators if he s off to covid con with the rest of the Trump supporters','Oxford, England','','Neutral'
'1274387685424066560','Along with Dharavi Dadar and Mahim which fall in the G North ward also witnessed a drop in the number of COVID19 cases','L','','Neutral'
'1274387685407436800','Watch the covid virus attack the anti maskers when they enter an enclosed arena Selfish reckless and deadly is so MAGA','','','Negative'
'1274387685621317632','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','Deutschland','','Neutral'
'1274387685705166854','Ontario reports more than 200 coronavirus cases for 1st time in a week','','','Positive'
'1274387686053171200','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','Middle Earth','','Neutral'
'1274387685982056448','iaco Remember don t grab another person s face mask It s a 15 yard penalty and an automatic 1st Down coronavirus Trump2020N','Indiana, USA','','Negative'
'1274387685977788418','Florida sets yet another daily record for COVID 19 cases hitting 4 049 in one day The positive rate was 12 4 which','New York, USA','','Positive'
'1274387686145605639','drummond Ten people Ten people only Only TEN people tested positive out of 24 413 in the England Covid 19 Infection Survey','','','Positive'
'1274387686208475137','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','United Kingdom','','Neutral'
'1274387686342766592','Just because your favorite restaurant reopened doesn t mean the pandemic is over Just because you have to return to work do','Austin, TX','','Positive'
'1274387686460207106','How many times has he said one thing then said something completely different the next day So the 2nd Wave may neve','','','Positive'
'1274387686594424834','So Covid is a republican disease all those protesting Dems are immune Maybe you should proofread your','Somewhere over the rainbow','','Neutral'
'1274387686799708160','TNIE Raichur district update of covid 19 cases as on June 20 15 cases were tested positive and 39 cases were cured amp disch','Bengaluru, India','','Positive'
'1274387686984421377','BREAKING New COVID 19 cases in SC continue to climb as cases surpass 1 100 in single day gt gt gt','South Carolina, bitch!','','Positive'
'1274387687038951424','BREAKING Another Florida record day Added 4049 new COVID 19 cases overnight 12 36 positivity rate','Massachussetts','','Positive'
'1274387686938284032','This is actually how cult mind control works if they convince you to doubt your eyes and ears they can get you to','Chicago, IL','','Neutral'
'1274387687332630529','If you are a clinician or researcher working on COVID 19 we have to grapple with this We have to contend with how racis','St Louis, MO','','Neutral'
'1274387687320018945','To help keep mind and body healthy during lockdown busy Charnwood Community Action Hub Food Bank manager James gets ou','Loughborough, UK','','Positive'
'1274387687395344385','if u say blm but u are partying ignoring COVID bc it s more convenient for u id like to remind you that COVID will dispro','Bay Area','','Positive'
'1274387687286255616','Incredible stuff by the healthcare providers of Mumbai Superb','Mumbai, India','','Positive'
'1274387687382888449','COVID 19 CRISIS Florida Miami Dade County Gets Tough','Coral Gables, FL','','Negative'
'1274387687450054656','Again I m struck by the inconsistencies of lockdown','Hufflepuff Common Room','','Negative'
'1274387687491792896','It feels like the media and politicians turn COVID 19 on or off depending on what s expedient at the moment','The Salish Sea','','Neutral'
'1274387687559049218','Jaw dropping to read that the German success re the coronavirus pandemic was based on U S research that was ignored or','Lake Hylia: Zoras Domain','','Positive'
'1274387688037117955','BREAKING I fucking give up','','','Negative'
'1274387688238526466','For the last 2 weeks every day Florida has set another record for new COVID 19 cases repeatedly dismis','Florida, USA','','Positive'
'1274387688066514946','What is best in life To crush your enemies to see them driven before you and to call them morons who can t read','Stourbridge, UK','','Positive'
'1274387688154632193','Literally the dumbest people on earth','the dirty south (NC)','','Neutral'
'1274387688490061824','RESUS If you think wearing a mask cuts off your oxygen just wait until you find out what COVID does','Los Angeles, CA','','Neutral'
'1274387688959795200','Trump s rally in Tulsa is indoors with no social distancing and no mask requirements all in violation of CDC guidelines','Bay Area, CA','','Negative'
'1274387688976789510','Coronavirus how do I defer my next VAT payment','Cardiff','','Neutral'
'1274387689022914563','rockshow Two cracking interview hours re airing today At 6pm a moment in time special with from NYC on lockdown an','Basildon, Essex','','Positive'
'1274387689182310400','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','','','Neutral'
'1274387689178005511','If your bf is an Arsenal fan give him breast to suck feed him well and fvck him harder They are going through a lot and','Abuja, Nigeria','','Negative'
'1274387689215651840','Wild how Trump is denying the coronavirus pandemic like it s a sexual assault allegation','','','Positive'
'1274387689136144391','Agreed I feel like it should be mandatory to get tested so u know you aren t infecting anyone There s also one you','','','Neutral'
'1274387689303752704','Elise After last night I prolly should','Verdansk ','','Neutral'
'1274387689232633858','Run by idiots Go away is NOT AN IDIOT by any means Your Reptilian being wont l','Berlin, Deutschland','','Negative'
'1274387689500889089','shives Credit where credit is due that COVID covered pun is the funniest joke I ve ever seen a conservative make','','','Negative'
'1274387689559789570','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','New Jersey, USA','','Neutral'
'1274387689522028544','hundreds lined up for the covid rally willing to risk death to see jim jones trump cult45','','','Positive'
'1274387689601728514','Each tablet of 200 mg will cost Rs 103 Here s all you need to know about FabiFlu','','','Neutral'
'1274387689006137344','A month ago Florida was 28th in COVID deaths per 1M Today Florida is 28th in COVID deaths per','Across the US','','Neutral'
'1274387689647886343','Extremely worrying thread from GPs amp other HCPs re problems with disjointed test amp trace','','','Negative'
'1274387689798696960','127 people tests positive in Kerala today the highest toll since the pandemic broke out in the state Malappuram','Cochin / India','','Positive'
'1274387689920270338','Well howdy dooty to you Let us thank all the PROTESTERS who banged thru streets 3 weeks ago Blame them Blame the','','','Neutral'
'1274387690285420544','Visitors in NationalParks protect your rangers Park sites and their housing are often soooo far from any medical reso','United States','','Positive'
'1274387690436341760','Worth a read','Northampton, UK','','Positive'
'1274387690515951617','I can t so many things I want to say to this but I can t','','','Positive'
'1274387690746548225','I thought I missed football but I didn t I just missed the idea of football Now if we can please get back on lockdown that','','','Neutral'
'1274387690918760455','BREAKING Another Florida record day Added 4049 new COVID 19 cases overnight 12 36 positivity rate','Florida, USA','','Positive'
'1274387691107483649','The lunatic scribbler on a pre covid 19 acid trip','London','','Neutral'
'1274387691023597571','He did that briefly and then he had guests come over and had them t','Stevens Point, WI','','Neutral'
'1274387691635765248','And Arizona is the IgnorantState','So. Cal. (mostly LA and OC)','','Neutral'
'1274387691694669831','These quotes','Miami, FL','','Neutral'
'1274387691778514945','Acevedo The Governor of Florida calling essential workers sardines and blaming them for the spike in cases in his state is','','','Neutral'
'1274387691807756288','NEW India reports 491 new coronavirus cases in AP raising state total to 8 452 AP s largest daily increase so far','Mumbai','','Positive'
'1274387691732336640','COVID 19 Protecting the rights of persons with intellectual disabilities via EN','Wexford, Ireland','','Positive'
'1274387692093128710','UMMMM YOU FIRST','Brooklyn, NY','','Positive'
'1274387692181053440','Even the CoVid Phillies','USA','','Neutral'
'1274387692269129730','punch Hi im hoping to get some help I need help with our bills f','United States','','Neutral'
'1274387693049270272','Mumbai pls guide and help one of my close friends has Covid and is admitted in Lilavati and needs Remdesivir urgently Ho','','','Neutral'
'1274387693011701760','This is how cult members talk This guy is so invested in the conspiracy he will maintain it even when it s when it s directl','','','Neutral'
'1274387693158518784','Remember when the Mayor of Las Vegas offered to reopen the city as a control group Yeah that s going about as expe','','','Neutral'
'1274387692839514112','Florida records over 4 000 new cases of COVID 19 in one day','Pismo Beach,CA','','Positive'
'1274387693057839104','On one side reality On the other something I saw on the internet','42.7155,-87.8255','','Negative'
'1274387693116379137','Thin the herd','Carlsbad, CA','','Negative'
'1274387693246525441','How many people were tested','Redditch, England','','Positive'
'1274387693380624385','Covid has shown us a very important point Not voting results in a government so incompetent it kills by the tens of thousand','United States','','Positive'
'1274387693561143296','if u say blm but u are partying ignoring COVID bc it s more convenient for u id like to remind you that COVID will dispro','Missouri City, TX','','Positive'
'1274387693519032320','Please retweet folks Need urgently tonight','','','Neutral'
'1274387693510840320','We deserve this pandemic smh','','','Neutral'
'1274387693883887621','Four states report record highs in coronavirus cases Florida and Arizona hit hard','Los Angeles, CA','','Negative'
'1274387694123180032','working in retail during a nationwide pandemic is a special kind of hell because I see at least one example of all of th','he / him ','','Positive'
'1274387694181851136','BREAKING Another Florida record day Added 4049 new COVID 19 cases overnight 12 36 positivity rate','Orlando, FL','','Positive'
'1274387694320156672','VanDerMeer Donald Trump single handedly managed to bring back the 1918 Pandemic the 1929 Recession and the 1968 Race riots in ju','Saskatchewan, Canada','','Negative'
'1274387694190288897','Coronavirus can survive for 20 years in temperatures of minus 20 degrees Celsius','','','Negative'
'1274387694483898368','Thousands of unwashed unmasked uneducated uninformed heavily armed inebriated inbreds lined up for hours in the hot','Mandarin, FL','','Positive'
'1274387694446141440','i saw this amp then texted my coworker we need to put this on the news today','','','Neutral'
'1274387694446133248','Sign the petition demanding that the Senate pass the HEROES Act to provide coronavirus relief and protect our elect','USA','','Positive'
'1274387694588755971','Rajavi Khamenei amp Rouhani trying to obstruct threat of uprisings by strategy of inflicting m','','','Neutral'
'1274387694622085121','PSA COVID IN RUSTY NAIL CERES ON IF YOU WERE THERE THIS PAST FRIDAY','','','Negative'
'1274387694693634049','They re litterally diaper wearing baby dipshits','Duval','','Neutral'
'1274387694660005888','It s ironic that the same people that were yelling OBAMA S TRYING TO INSTITUTE DEATH PANELS','','','Positive'
'1274387694781677569','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','','','Neutral'
'1274387694764937217','BREAKING Another Florida record day Added 4049 new COVID 19 cases overnight 12 36 positivity rate','','','Positive'
'1274387694865522688','Is everyone reading this I gotta break down this science real quick This study compared COVID 19 mortality rates by','','','Positive'
'1274387695381471237','Trump s rally in Tulsa is indoors with no social distancing and no mask requirements all in violation of CDC guidelines','Chicago','','Negative'
'1274387695456960513','Trump rallygoer sans mask We had a friend who died from Covid and his son was on a ventilator he almost died So we know','Chicago USA','','Neutral'
'1274387695335161856','Is it safe to have sex or be intimate with someone new during COVID 19 CBC Radio A good','Canada','','Positive'
'1274387695507255297','A little wake up call for all of you not wearing masks My cousin checked into the hospital Tuesday morning for body a','Las Vegas, NV','','Negative'
'1274387695586902017','POLL Yesterday a said 80 of Americans support WearAMask 89 D and 68 R Let s test','','','Neutral'
'1274387695662518273','Again I m struck by the inconsistencies of lockdown','South East London','','Negative'
'1274387695779766272','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','','','Neutral'
'1274387697289887745','Tomorrow the president of the usa is going to densely pack in tens of thousands of his own supporters into an arena du','','','Positive'
'1274387697230950400','Check out my Gig on Fiverr I will do full stationery design business card flyer brochure envelope banner vector','Natore, Bangladesh','','Positive'
'1274387697533104128','The South Asian population in hospital looks completely different to the white population They re 12 years younger on avera','Lahore/London','','Neutral'
'1274387697428082688','Please please Do drink the kool aid','West Hollywood, CA','','Neutral'
'1274387697436700673','It s one rule for us and an udder for them','LDN','','Neutral'
'1274387697503789057','so fuck health workers police attacked medics during protests too','In heaven & hell','','Negative'
'1274387697528983552','Coronavirus in a nursing home is like fire in dry grass said early on The only question is how many peopl','United States','','Positive'
'1274387697621057536','BREAKING COVID19 CASES IN PH BREACH 29 000 MARK DOH reports 943 confirmed cases of COVID 19 578 fresh 365 late As of','','','Positive'
'1274387697726107649','RESUS If you think wearing a mask cuts off your oxygen just wait until you find out what COVID does','ko-fi.com/twabbis','','Neutral'
'1274387697767940096','Don t love the headline but is ahead of the curve again with a thoughtful analysis of the need to use our summer lu','Jacksonville, Fl ','','Positive'
'1274387697918898176','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','','','Neutral'
'1274387697906233348','We re months into this pandemic and still don t have proper testing PPE or clear nationwide guidance Instead Donald Trump','Scottsdale, AZ','','Positive'
'1274387697851867137','She s back','Leicester, England','','Neutral'
'1274387697998667777','Tulsa is 5th Ave and COVID 19 is the gun Make sense now','','','Neutral'
'1274387697931481090','since a lot of people seem to forget we re under a pandemic and aren t wearing masks','San Jose, CA, USA','','Neutral'
'1274387698174885889','thats crazy America the only country refusing to wear masks and has the 1 Covid Cases but theyll just said we re misinformed','West Wilmington.','','Negative'
'1274387698258591744','Trump rallygoer sans mask We had a friend who died from Covid and his son was on a ventilator he almost died So we know','In the construct of the mind','','Neutral'
'1274387698191654913','We abandoned national testing We abandoned contact tracing We have made not wearing a mask a symbol of freedom World renow','Somerville, MA','','Neutral'
'1274387698669834242','I mean our lockdown was pretty pants but the U S seems to have hardly even gotten started before the','essex!','','Negative'
